{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_2'), ('OA_2A_', 'O_2_2'), ('OA_3A_', 'O_3_1'), ('OA_4A_', 'O_4_2'), ('OA_5A_', 'O_5_1'), ('SA_1A_', 'S_1_2'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_2'), ('SA_4A_', 'S_4_1'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_1'), ('OA_2A_', 'O_2_2'), ('OA_3A_', 'O_3_1'), ('OA_4A_', 'O_4_1'), ('OA_5A_', 'O_5_2'), ('SA_1A_', 'S_1_2'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_2'), ('SA_4A_', 'S_4_1'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_2'), ('OA_2A_', 'O_2_1'), ('OA_3A_', 'O_3_1'), ('OA_4A_', 'O_4_2'), ('OA_5A_', 'O_5_1'), ('SA_1A_', 'S_1_2'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_2'), ('SA_4A_', 'S_4_1'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_2'), ('OA_2A_', 'O_2_2'), ('OA_3A_', 'O_3_1'), ('OA_4A_', 'O_4_2'), ('OA_5A_', 'O_5_1'), ('SA_1A_', 'S_1_2'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_2'), ('SA_4A_', 'S_4_2'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_2'), ('OA_2A_', 'O_2_1'), ('OA_3A_', 'O_3_1'), ('OA_4A_', 'O_4_2'), ('OA_5A_', 'O_5_1'), ('SA_1A_', 'S_1_2'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_2'), ('SA_4A_', 'S_4_2'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_2'), ('OA_2A_', 'O_2_1'), ('OA_3A_', 'O_3_1'), ('OA_4A_', 'O_4_2'), ('OA_5A_', 'O_5_1'), ('SA_1A_', 'S_1_1'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_2'), ('SA_4A_', 'S_4_2'), ('SA_5A_', 'S_5_1')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_1'), ('OA_2A_', 'O_2_2'), ('OA_3A_', 'O_3_1'), ('OA_4A_', 'O_4_1'), ('OA_5A_', 'O_5_2'), ('SA_1A_', 'S_1_2'), ('SA_2A_', 'S_2_1'), ('SA_3A_', 'S_3_1'), ('SA_4A_', 'S_4_1'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_2'), ('OA_2A_', 'O_2_1'), ('OA_3A_', 'O_3_1'), ('OA_4A_', 'O_4_2'), ('OA_5A_', 'O_5_1'), ('SA_1A_', 'S_1_1'), ('SA_2A_', 'S_2_1'), ('SA_3A_', 'S_3_2'), ('SA_4A_', 'S_4_2'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_1'), ('OA_2A_', 'O_2_1'), ('OA_3A_', 'O_3_2'), ('OA_4A_', 'O_4_2'), ('OA_5A_', 'O_5_2'), ('SA_1A_', 'S_1_1'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_1'), ('SA_4A_', 'S_4_2'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_2'), ('OA_2A_', 'O_2_1'), ('OA_3A_', 'O_3_2'), ('OA_4A_', 'O_4_1'), ('OA_5A_', 'O_5_2'), ('SA_1A_', 'S_1_1'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_1'), ('SA_4A_', 'S_4_2'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_1'), ('OA_2A_', 'O_2_1'), ('OA_3A_', 'O_3_2'), ('OA_4A_', 'O_4_1'), ('OA_5A_', 'O_5_2'), ('SA_1A_', 'S_1_1'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_1'), ('SA_4A_', 'S_4_2'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_1'), ('OA_2A_', 'O_2_2'), ('OA_3A_', 'O_3_1'), ('OA_4A_', 'O_4_1'), ('OA_5A_', 'O_5_2'), ('SA_1A_', 'S_1_1'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_1'), ('SA_4A_', 'S_4_2'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
{'rule': [('EA_1A_', 'E_1_2'), ('OA_1A_', 'O_1_2'), ('OA_2A_', 'O_2_1'), ('OA_3A_', 'O_3_2'), ('OA_4A_', 'O_4_2'), ('OA_5A_', 'O_5_2'), ('SA_1A_', 'S_1_1'), ('SA_2A_', 'S_2_2'), ('SA_3A_', 'S_3_1'), ('SA_4A_', 'S_4_2'), ('SA_5A_', 'S_5_2')], 'decision': 'permit'}
